Kind,Name,AvgCyclomatic,SumCyclomatic,MaxEssential,MaxNesting
Public Class,"controller.EnrollController",1,5,1,1
Public Constructor,"controller.EnrollController.EnrollController",,1,,0
Public Method,"controller.EnrollController.enrollStudent",,2,,1
Protected Method,"controller.EnrollController.saveService",,1,,0
Protected Method,"controller.EnrollController.saveStudent",,1,,0
Public Class,"controller.PackageController",2,18,3,3
Public Constructor,"controller.PackageController.PackageController",,1,,0
Public Method,"controller.PackageController.alterStatusOfThePackage",,2,,1
Public Method,"controller.PackageController.getPackage",,1,,0
Public Method,"controller.PackageController.getPackages",,1,,0
Public Method,"controller.PackageController.newPackage",,4,,3
Public Method,"controller.PackageController.searchPackageByName",,3,,2
Public Method,"controller.PackageController.setPackageDAO",,1,,0
Public Method,"controller.PackageController.showPackage",,1,,0
Public Method,"controller.PackageController.updatePackage",,4,,3
Public Class,"controller.PaymentController",1,6,1,2
Public Constructor,"controller.PaymentController.PaymentController",,1,,0
Public Method,"controller.PaymentController.newPayment",,1,,0
Public Method,"controller.PaymentController.searchPayment",,3,,2
Public Method,"controller.PaymentController.setPaymentDAO",,1,,0
Public Class,"controller.ServiceController",2,18,1,3
Public Constructor,"controller.ServiceController.ServiceController",,1,,0
Private Method,"controller.ServiceController.addCoursesToService",,4,,3
Private Method,"controller.ServiceController.addPackagesToService",,4,,3
Public Method,"controller.ServiceController.newService",,1,,0
Public Method,"controller.ServiceController.newService",,1,,0
Public Method,"controller.ServiceController.saveService",,2,,1
Public Method,"controller.ServiceController.searchService",,3,,2
Public Method,"controller.ServiceController.setPaymentController",,1,,0
Public Method,"controller.ServiceController.setServiceDAO",,1,,0
Public Class,"controller.StudentClassController",2,17,1,2
Public Constructor,"controller.StudentClassController.StudentClassController",,1,,0
Public Method,"controller.StudentClassController.convertAbsenceStringToInteger",,2,,1
Public Method,"controller.StudentClassController.convertGradeStringToInteger",,2,,1
Public Method,"controller.StudentClassController.enrollStudentToClass",,3,,2
Public Method,"controller.StudentClassController.getStudentSituation",,3,,2
Public Method,"controller.StudentClassController.getStudents",,3,,2
Public Method,"controller.StudentClassController.setDAO",,1,,0
Public Method,"controller.StudentClassController.setStudentSituation",,2,,1
Public Class,"controller.StudentController",1,15,1,2
Public Constructor,"controller.StudentController.StudentController",,1,,0
Public Method,"controller.StudentController.alterStatusOfTheStudent",,2,,1
