Kind,Name,PercentLackOfCohesion
Anonymous Class,"view.View.addCourseOptionsToMenu.(Anon_12)",0
Anonymous Class,"view.View.addCourseOptionsToMenu.(Anon_13)",0
Anonymous Class,"view.View.addDirectorOptionsToMenu.(Anon_3)",0
Anonymous Class,"view.View.addPackageOptionsToMenu.(Anon_10)",0
Anonymous Class,"view.View.addPackageOptionsToMenu.(Anon_11)",0
Anonymous Class,"view.View.addStudentsOptionsToMenu.(Anon_8)",0
Anonymous Class,"view.View.addStudentsOptionsToMenu.(Anon_9)",0
Anonymous Class,"view.View.addTeacherOptionsToMenu.(Anon_6)",0
Anonymous Class,"view.View.addTeacherOptionsToMenu.(Anon_7)",0
Anonymous Class,"view.View.instantiateMenuBar.(Anon_2)",0
Anonymous Class,"view.View.main.(Anon_1)",0
Public Class,"view.decorator.EditCourseDecorator",77
Anonymous Class,"view.decorator.EditCourseDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.EditCourseDecorator.createButtons.(Anon_2)",0
Public Class,"view.decorator.EditPackageDecorator",85
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_3)",0
Anonymous Class,"view.decorator.EditPackageDecorator.createButtons.(Anon_4)",0
Public Class,"view.decorator.EditTeacherDecorator",83
Anonymous Class,"view.decorator.EditTeacherDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.EditTeacherDecorator.createButtons.(Anon_2)",0
Public Class,"view.decorator.EnrollStudentDecorator",85
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_3)",0
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_4)",0
Anonymous Class,"view.decorator.EnrollStudentDecorator.createButtons.(Anon_5)",0
Public Class,"view.decorator.NewCourseDecorator",0
Anonymous Class,"view.decorator.NewCourseDecorator.createButtons.(Anon_1)",0
Public Class,"view.decorator.NewPackageDecorator",85
Anonymous Class,"view.decorator.NewPackageDecorator.addCourse.(Anon_2)",0
Anonymous Class,"view.decorator.NewPackageDecorator.addCourse.(Anon_3)",0
Anonymous Class,"view.decorator.NewPackageDecorator.createButtons.(Anon_1)",0
Public Class,"view.decorator.NewTeacherDecorator",80
Anonymous Class,"view.decorator.NewTeacherDecorator.createButtons.(Anon_1)",0
Public Abstract Class,"view.decorator.PersonDecorator",0
Public Class,"view.decorator.ServiceItemDecorator",0
Public Class,"view.decorator.ShowCourseDecorator",73
Anonymous Class,"view.decorator.ShowCourseDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.ShowCourseDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.ShowCourseDecorator.createButtons.(Anon_3)",0
Public Class,"view.decorator.ShowPackageDecorator",78
Anonymous Class,"view.decorator.ShowPackageDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.ShowPackageDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.ShowPackageDecorator.createButtons.(Anon_3)",0
Public Class,"view.decorator.ShowStudentDecorator",83
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_3)",0
Anonymous Class,"view.decorator.ShowStudentDecorator.createButtons.(Anon_4)",0
Public Class,"view.decorator.ShowTeacherDecorator",80
Anonymous Class,"view.decorator.ShowTeacherDecorator.createButtons.(Anon_1)",0
Anonymous Class,"view.decorator.ShowTeacherDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.ShowTeacherDecorator.createButtons.(Anon_3)",0
Public Abstract Class,"view.decorator.class_decorator.ClassDecorator",50
Public Class,"view.decorator.class_decorator.EditClassDecorator",50
Anonymous Class,"view.decorator.class_decorator.EditClassDecorator.createButtons.(Anon_1)",0
Public Class,"view.decorator.class_decorator.NewClassDecorator",80
Anonymous Class,"view.decorator.class_decorator.NewClassDecorator.createButtons.(Anon_1)",0
Public Class,"view.decorator.class_decorator.ShowStudentsClassDecorator",78
Anonymous Class,"view.decorator.class_decorator.ShowStudentsClassDecorator.createButtons.(Anon_2)",0
Anonymous Class,"view.decorator.class_decorator.ShowStudentsClassDecorator.createButtons.(Anon_3)",0
Anonymous Class,"view.decorator.class_decorator.ShowStudentsClassDecorator.createLabelsAndFields.(Anon_1)",0
Public Class,"view.forms.ClassForm",0
Public Class,"view.forms.ClassShowForm",66
Public Class,"view.forms.PersonForm",0
Public Class,"view.forms.ServiceItemForm",0
Public Class,"view.forms.StudentForm",100
Public Class,"view.forms.TeacherForm",0
